Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
190133177759419,Giuseppe Cotti,These ads ran without a disclaimer,≤100,1
1781311295425230,Les Verts de Troinex,Les Verts de Troinex,≤100,1
318625728948475,Con Amalia 2019,These ads ran without a disclaimer,≤100,1
106080328954492,SP Gelterkinden und Umgebung,SP Gelterkinden und Umgebung,≤100,1
108843502117518,Andreas Baeckert,Andreas Peter Baeckert,≤100,2
112625851413162,Roman Schmid,Roman Schmid,≤100,1
107214605185781,nilsmatter.ch,These ads ran without a disclaimer,≤100,1
48980326364,Public Eye,Public Eye,≤100,2
300240057017,Voglauer möbel voller leben,These ads ran without a disclaimer,≤100,2
1396526693960299,Junge SVP Baselland,Junge SVP Baselland,≤100,1
1125155474201566,Mcg Carouge,Sandro Pistis,≤100,3
102691421255810,PlanBasel,These ads ran without a disclaimer,≤100,1
